Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.985859,0.231416,0.000000,6.647771
10.000000,0.970707,0.095793,0.000000,5.601768
15.000000,0.975758,0.137302,0.000000,7.618877
20.000000,0.969697,0.329258,0.000000,8.010377
25.000000,0.978788,0.540585,0.000000,7.212511
30.000000,0.983838,0.688435,0.000000,6.605073
35.000000,0.987879,0.820425,0.000000,6.605853
40.000000,0.985859,0.874412,0.000000,6.315493
45.000000,0.996970,0.920966,0.000000,6.193953
50.000000,0.992929,0.964320,0.000000,6.396610
55.000000,0.989899,0.986763,0.000000,6.052088
60.000000,0.991919,0.994575,0.000000,5.834341
65.000000,0.991919,0.996956,0.000000,5.762393
70.000000,0.986869,0.997977,0.000000,5.755225
