Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.987879,0.086173,0.000000,7.602688
10.000000,0.990909,0.313804,0.000000,7.138101
15.000000,0.978788,0.541048,0.000000,6.585787
20.000000,0.977778,0.798200,0.000000,6.674856
25.000000,0.978788,0.924499,0.000000,6.805575
30.000000,0.995960,0.971557,0.000000,6.767112
35.000000,0.987879,0.988176,0.000000,6.727123
40.000000,0.988889,0.993726,0.000000,6.710715
45.000000,0.991919,0.996250,0.000000,6.691694
50.000000,1.000000,0.997807,0.000000,6.702977
