Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.988889,0.127580,0.000000,5.629640
10.000000,0.983838,0.348428,0.000000,5.890632
15.000000,0.986869,0.606237,0.000000,7.138706
20.000000,0.981818,0.760580,0.000000,7.627811
25.000000,0.985859,0.869218,0.000000,8.416114
30.000000,0.981818,0.932695,0.000000,8.330434
35.000000,0.987879,0.975994,0.000000,8.386308
40.000000,0.987879,0.984561,0.000000,8.290384
45.000000,0.978788,0.991612,0.000000,8.300103
50.000000,0.984848,0.994437,0.000000,8.315565
55.000000,0.991919,0.996981,0.000000,8.330833
