Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.986869,0.194203,0.000000,6.571213
10.000000,0.984848,0.235274,0.000000,7.607997
15.000000,0.989899,0.277169,0.000000,8.504587
20.000000,0.981818,0.276443,0.000000,9.048154
25.000000,0.978788,0.337203,0.000000,8.479579
30.000000,0.976768,0.561519,0.000000,7.260771
35.000000,0.988889,0.797194,0.000000,6.741894
40.000000,0.987879,0.892530,0.000000,6.867237
45.000000,0.992929,0.939308,0.000000,6.819201
50.000000,0.993939,0.959905,0.000000,6.759713
55.000000,0.990909,0.970810,0.000000,6.769618
60.000000,0.985859,0.981806,0.000000,6.926931
65.000000,0.982828,0.991353,0.000000,6.931530
70.000000,0.989899,0.993283,0.000000,7.031494
