Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.982828,0.420523,0.000000,7.073885
10.000000,0.980808,0.741356,0.000000,8.474181
15.000000,0.984848,0.840230,0.000000,9.107913
20.000000,0.983838,0.893996,0.000000,9.021022
25.000000,0.985859,0.936722,0.000000,8.886567
30.000000,0.977778,0.960790,0.000000,8.804691
35.000000,0.992929,0.985818,0.000000,8.610824
40.000000,0.987879,0.992647,0.000000,8.510914
45.000000,0.986869,0.995056,0.000000,8.379522
50.000000,0.995960,0.995898,0.000000,8.291911
