Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.991919,0.264012,0.000000,5.691394
10.000000,0.983838,0.326907,0.000000,5.698450
15.000000,0.984848,0.335398,0.000000,6.917227
20.000000,0.983838,0.358026,0.000000,7.391281
25.000000,0.978788,0.462105,0.000000,7.785952
30.000000,0.972727,0.532116,0.000000,8.149090
35.000000,0.987879,0.666600,0.000000,8.991605
40.000000,0.992929,0.756125,0.000000,8.820005
45.000000,0.985859,0.863495,0.000000,8.453501
50.000000,0.982828,0.935267,0.000000,8.153801
55.000000,0.994949,0.971224,0.000000,7.763872
60.000000,0.996970,0.987320,0.000000,7.596894
65.000000,0.997980,0.992919,0.000000,7.563863
70.000000,1.000000,0.994727,0.000000,7.492401
75.000000,0.994949,0.996616,0.000000,7.457646
