Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.992929,0.467194,0.000000,6.299440
10.000000,0.989899,0.580731,0.000000,6.339633
15.000000,0.990909,0.753631,0.000000,6.651979
20.000000,0.995960,0.866356,0.000000,6.704716
25.000000,0.989899,0.914641,0.000000,6.748580
30.000000,0.993939,0.948903,0.000000,6.561219
35.000000,0.991919,0.978186,0.000000,6.583614
40.000000,0.991919,0.987970,0.000000,6.698837
45.000000,0.984848,0.994670,0.000000,6.834430
50.000000,0.995960,0.996585,0.000000,6.928420
55.000000,0.991919,0.997273,0.000000,6.988652
