Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.980808,0.507513,0.000000,6.713448
10.000000,0.979798,0.635317,0.000000,6.587730
15.000000,0.975758,0.726197,0.000000,7.507739
20.000000,0.985859,0.805909,0.000000,7.672157
25.000000,0.978788,0.869455,0.000000,8.419851
30.000000,0.986869,0.927635,0.000000,8.477880
35.000000,0.982828,0.966875,0.000000,8.342968
40.000000,0.991919,0.978273,0.000000,8.353451
45.000000,0.987879,0.985403,0.000000,8.442483
50.000000,0.989899,0.991808,0.000000,8.533846
55.000000,0.996970,0.995038,0.000000,8.456508
