Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.988889,0.105353,0.000000,5.435844
10.000000,0.985859,0.362224,0.000000,5.808798
15.000000,0.978788,0.614207,0.000000,7.392727
20.000000,0.970707,0.795530,0.000000,8.672422
25.000000,0.980808,0.871639,0.000000,9.306399
30.000000,0.980808,0.943497,0.000000,8.798991
35.000000,0.982828,0.988383,0.000000,8.650250
40.000000,0.979798,0.994362,0.000000,8.589478
45.000000,0.980808,0.996768,0.000000,8.565307
50.000000,0.990909,0.997445,0.000000,8.606008
55.000000,0.984848,0.997112,0.000000,8.654399
