Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.980808,0.431736,0.000000,6.646755
10.000000,0.979798,0.539802,0.000000,6.976753
15.000000,0.985859,0.579425,0.000000,7.163652
20.000000,0.978788,0.708907,0.000000,6.768370
25.000000,0.983838,0.887495,0.000000,6.344645
30.000000,0.972727,0.972387,0.000000,6.228399
35.000000,0.985859,0.994732,0.000000,6.237822
40.000000,0.988889,0.997687,0.000000,6.219049
45.000000,0.992929,0.997904,0.000000,6.215378
50.000000,0.994949,0.998123,0.000000,6.207720
