Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.986869,0.221750,0.000000,7.200044
10.000000,0.978788,0.457062,0.000000,7.677973
15.000000,0.982828,0.576788,0.000000,9.500114
20.000000,0.978788,0.656241,0.000000,10.227937
25.000000,0.977778,0.712766,0.000000,11.001931
30.000000,0.975758,0.850775,0.000000,10.354595
35.000000,0.977778,0.973095,0.000000,10.286917
40.000000,0.992929,0.993894,0.000000,10.245019
45.000000,0.976768,0.996682,0.000000,10.230775
50.000000,0.977778,0.997782,0.000000,10.195159
55.000000,0.993939,0.997847,0.000000,10.115687
