Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.991919,0.757035,0.000000,4.940685
10.000000,0.987879,0.844367,0.000000,6.222444
15.000000,0.987879,0.883691,0.000000,7.381359
20.000000,0.983838,0.919619,0.000000,8.047882
25.000000,0.983838,0.950000,0.000000,8.205925
30.000000,0.973737,0.966714,0.000000,8.095868
35.000000,0.985859,0.987672,0.000000,7.982746
40.000000,0.973737,0.990761,0.000000,7.828915
45.000000,0.982828,0.994372,0.000000,7.660157
50.000000,0.979798,0.996373,0.000000,7.540012
