Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.991919,0.415335,0.000000,4.917129
10.000000,0.991919,0.626645,0.000000,7.016811
15.000000,0.987879,0.789099,0.000000,9.804269
20.000000,0.983838,0.879577,0.000000,11.614860
25.000000,0.985859,0.931632,0.000000,12.360431
30.000000,0.991919,0.960080,0.000000,12.559543
35.000000,0.988889,0.982558,0.000000,12.498784
40.000000,0.981818,0.989080,0.000000,12.505117
45.000000,0.986869,0.993421,0.000000,12.324556
50.000000,0.979798,0.996061,0.000000,12.137712
