Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.987879,0.143146,0.000000,6.105999
10.000000,0.981818,0.177794,0.000000,6.309937
15.000000,0.983838,0.240401,0.000000,6.736449
20.000000,0.977778,0.403385,0.000000,7.094052
25.000000,0.982828,0.554923,0.000000,7.380023
30.000000,0.991919,0.695782,0.000000,7.244785
35.000000,0.983838,0.855741,0.000000,7.211840
40.000000,0.980808,0.904240,0.000000,7.364839
45.000000,0.989899,0.940697,0.000000,7.582690
50.000000,0.990909,0.963393,0.000000,7.534883
55.000000,0.993939,0.978864,0.000000,7.494557
60.000000,0.988889,0.988978,0.000000,7.562075
65.000000,0.986869,0.994197,0.000000,7.627436
70.000000,0.986869,0.996049,0.000000,7.696421
