Timestamp	RunID	Status	ActualSteps	FinalPolarization	FinalAssignStability	FinalLeaderLoadStdDev	FinalLeaderDistVar	ErrorMessage
2025-05-25T02:19:38.571330	run_051	SUCCESS	50	0.9968	0.9980	0.0000	8.8115	N/A
2025-05-25T02:21:51.026930	run_052	SUCCESS	45	0.9974	0.9929	0.0000	7.9174	N/A
2025-05-25T02:23:44.695464	run_053	SUCCESS	40	0.9957	1.0000	0.0000	7.5294	N/A
2025-05-25T02:26:19.424055	run_054	SUCCESS	50	0.9956	0.9929	0.0000	7.0085	N/A
2025-05-25T02:28:53.608665	run_055	SUCCESS	55	0.9931	0.9677	0.0000	9.6214	N/A
2025-05-25T03:01:57.054590	run_056	SUCCESS	35	0.9963	0.9929	0.0000	6.6275	N/A
2025-05-25T03:20:59.606429	run_057	SUCCESS	70	0.9933	0.9899	0.0000	7.0315	N/A
2025-05-25T03:52:22.603996	run_058	SUCCESS	35	0.9953	0.9899	0.0000	6.6241	N/A
2025-05-25T04:03:22.395344	run_059	SUCCESS	40	0.9955	0.9929	0.0000	5.7444	N/A
2025-05-25T04:21:48.106757	run_060	SUCCESS	35	0.9977	0.9909	0.0000	7.9179	N/A
2025-05-25T04:40:48.094596	run_061	SUCCESS	70	0.9979	1.0000	0.0000	7.9714	N/A
2025-05-25T05:06:10.384388	run_062	SUCCESS	80	0.9960	0.9960	0.0000	6.4237	N/A
2025-05-25T05:09:27.174112	run_063	SUCCESS	70	0.9960	0.9869	0.0000	7.6964	N/A
2025-05-25T05:27:41.875581	run_064	SUCCESS	35	0.9968	0.9929	0.0000	8.1344	N/A
2025-05-25T05:42:46.903299	run_065	SUCCESS	50	0.9969	0.9929	0.0000	8.1980	N/A
2025-05-25T05:45:08.682555	run_066	SUCCESS	50	0.9981	0.9949	0.0000	6.2077	N/A
2025-05-25T05:47:45.212225	run_067	SUCCESS	55	0.9972	0.9939	0.0000	7.7455	N/A
2025-05-25T06:04:39.632991	run_068	SUCCESS	35	0.9972	0.9949	0.0000	5.3423	N/A
2025-05-25T06:40:44.873964	run_069	SUCCESS	50	0.9959	0.9960	0.0000	8.2919	N/A
2025-05-25T06:42:51.576870	run_070	SUCCESS	45	0.9967	0.9838	0.0000	8.9773	N/A
2025-05-25T07:02:27.151401	run_071	SUCCESS	45	0.9972	0.9859	0.0000	5.8985	N/A
2025-05-25T07:06:13.427088	run_072	SUCCESS	30	0.9978	0.9949	0.0000	6.1722	N/A
2025-05-25T07:08:06.824385	run_073	SUCCESS	40	0.9968	0.9929	0.0000	8.1817	N/A
2025-05-25T07:10:42.823044	run_074	SUCCESS	55	0.9978	0.9939	0.0000	9.6140	N/A
2025-05-25T07:13:14.657545	run_075	SUCCESS	55	0.9969	0.9859	0.0000	8.1812	N/A
2025-05-25T07:16:02.420522	run_076	SUCCESS	60	0.9979	0.9747	0.0000	8.0620	N/A
2025-05-25T07:18:08.595279	run_077	SUCCESS	45	0.9970	0.9949	0.0000	7.3809	N/A
2025-05-25T07:19:48.023244	run_078	SUCCESS	35	0.9951	0.9939	0.0000	8.2070	N/A
2025-05-25T07:21:56.487211	run_079	SUCCESS	45	0.9975	1.0000	0.0000	8.3513	N/A
2025-05-25T07:25:57.435307	run_080	SUCCESS	85	0.9940	0.9889	0.0000	8.1115	N/A
2025-05-25T07:44:52.768009	run_081	SUCCESS	40	0.9981	0.9949	0.0000	4.0506	N/A
2025-05-25T08:03:12.445742	run_082	SUCCESS	45	0.9981	0.9899	0.0000	6.4386	N/A
2025-05-25T08:05:47.878590	run_083	SUCCESS	55	0.9950	0.9970	0.0000	8.4565	N/A
2025-05-25T08:07:56.124352	run_084	SUCCESS	45	0.9979	0.9879	0.0000	8.4090	N/A
2025-05-25T08:09:20.898652	run_085	SUCCESS	30	0.9979	0.9949	0.0000	5.3576	N/A
2025-05-25T08:12:54.791143	run_086	SUCCESS	75	0.9966	0.9949	0.0000	7.4576	N/A
2025-05-25T08:14:49.171799	run_087	SUCCESS	40	0.9978	0.9929	0.0000	6.2506	N/A
2025-05-25T08:17:23.697946	run_088	SUCCESS	55	0.9963	0.9818	0.0000	8.9478	N/A
2025-05-25T08:19:16.682665	run_089	SUCCESS	40	0.9980	0.9970	0.0000	10.0325	N/A
2025-05-25T08:28:24.265623	run_090	SUCCESS	35	0.9982	0.9939	0.0000	7.1463	N/A
2025-05-25T08:30:22.061519	run_091	SUCCESS	45	0.9933	0.9818	0.0000	9.2116	N/A
2025-05-25T08:32:06.289504	run_092	SUCCESS	40	0.9980	0.9889	0.0000	6.3990	N/A
2025-05-25T08:34:05.581094	run_093	SUCCESS	45	0.9971	0.9929	0.0000	7.4782	N/A
2025-05-25T08:35:37.417265	run_094	SUCCESS	35	0.9978	0.9909	0.0000	6.8906	N/A
2025-05-25T08:37:48.465190	run_095	SUCCESS	50	0.9978	1.0000	0.0000	6.7030	N/A
2025-05-25T08:39:33.811732	run_096	SUCCESS	40	0.9969	0.9848	0.0000	7.9876	N/A
2025-05-25T08:41:31.740963	run_097	SUCCESS	45	0.9980	0.9798	0.0000	4.7523	N/A
2025-05-25T08:43:56.134562	run_098	SUCCESS	55	0.9971	0.9848	0.0000	8.6544	N/A
2025-05-25T08:45:40.965957	run_099	SUCCESS	40	0.9977	0.9960	0.0000	7.0459	N/A
