,follower_polarization,assignment_stability,leader_load_std_dev,leader_dist_variance
count,100.0,100.0,100.0,100.0
mean,0.9969371362012832,0.9914747474747475,0.0,7.289763999359513
std,0.0011295457427341574,0.005841214937016303,0.0,1.4816639191716
min,0.9930917619360383,0.9676767676767677,0.0,3.680591413678745
25%,0.996394906439347,0.9888888888888889,0.0,6.2711466394396655
50%,0.9972871543703439,0.9929292929292929,0.0,7.082032035064711
75%,0.9977899526872541,0.9949494949494949,0.0,8.195356942994284
max,0.9981683762708924,1.0,0.0,12.137712053909386
