Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.989899,0.479553,0.000000,6.518908
10.000000,0.984848,0.544521,0.000000,7.059928
15.000000,0.988889,0.709787,0.000000,7.082001
20.000000,0.988889,0.809556,0.000000,7.474301
25.000000,0.986869,0.882214,0.000000,7.866531
30.000000,0.995960,0.952167,0.000000,8.125082
35.000000,0.995960,0.983037,0.000000,8.222632
40.000000,0.993939,0.992020,0.000000,8.192791
45.000000,0.990909,0.994786,0.000000,8.221125
50.000000,0.992929,0.996929,0.000000,8.198007
