Timestamp	RunID	Type	N_Particles_Total	N_Followers	N_Leaders	Capacity	T_Comm	Max_Steps	StartTime	EndTime	Duration_s	Status	ErrorMessage
2025-05-24T16:09:07.739745	vicsek_N1000	PureVicsek	1000	N/A	N/A	N/A	N/A	300	2025-05-24T15:57:36.036518	2025-05-24T16:09:07.739660	691.70	SUCCESS	N/A
2025-05-24T16:18:36.129731	lf_Nf990_Nl10_cap10_Tcomm10	LeaderFollower-Demo	1000	990	10	10	10	300	2025-05-24T16:09:07.739839	2025-05-24T16:18:36.129651	568.39	SUCCESS	N/A
