Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.989899,0.308066,0.000000,7.514159
10.000000,0.981818,0.288502,0.000000,9.669078
15.000000,0.984848,0.291866,0.000000,10.088605
20.000000,0.971717,0.313771,0.000000,9.393483
25.000000,0.969697,0.315840,0.000000,8.537878
30.000000,0.976768,0.349394,0.000000,8.159159
35.000000,0.985859,0.539373,0.000000,8.393448
40.000000,0.973737,0.666346,0.000000,8.827056
45.000000,0.979798,0.779005,0.000000,8.456646
50.000000,0.978788,0.873967,0.000000,7.713430
55.000000,0.982828,0.931265,0.000000,7.036149
60.000000,0.970707,0.957671,0.000000,6.687052
65.000000,0.989899,0.980868,0.000000,6.587550
70.000000,0.984848,0.988696,0.000000,6.485502
75.000000,0.989899,0.993552,0.000000,6.434635
80.000000,0.995960,0.996034,0.000000,6.423663
