Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.982828,0.310830,0.000000,5.503839
10.000000,0.995960,0.347125,0.000000,5.715370
15.000000,0.978788,0.392304,0.000000,7.005126
20.000000,0.987879,0.443330,0.000000,8.693444
25.000000,0.978788,0.549218,0.000000,9.630463
30.000000,0.981818,0.657683,0.000000,9.976016
35.000000,0.977778,0.830972,0.000000,9.665624
40.000000,0.978788,0.883561,0.000000,8.780595
45.000000,0.977778,0.920865,0.000000,8.027822
50.000000,0.985859,0.948904,0.000000,7.899725
55.000000,0.986869,0.967374,0.000000,7.444274
60.000000,0.987879,0.978069,0.000000,7.148639
65.000000,0.988889,0.991194,0.000000,7.071578
70.000000,0.986869,0.994988,0.000000,7.015998
75.000000,0.993939,0.996445,0.000000,6.992075
