Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.986869,0.416473,0.000000,6.111226
10.000000,0.985859,0.538925,0.000000,6.841453
15.000000,0.976768,0.681643,0.000000,8.149881
20.000000,0.974747,0.802077,0.000000,8.780769
25.000000,0.975758,0.886654,0.000000,9.372148
30.000000,0.976768,0.936555,0.000000,8.870420
35.000000,0.973737,0.978362,0.000000,8.632300
40.000000,0.977778,0.986368,0.000000,8.516992
45.000000,0.982828,0.993164,0.000000,8.413131
50.000000,0.979798,0.995512,0.000000,8.246603
55.000000,0.985859,0.996894,0.000000,8.181231
