Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.986869,0.442426,0.000000,6.550902
10.000000,0.968687,0.636516,0.000000,7.038308
15.000000,0.974747,0.771147,0.000000,8.694242
20.000000,0.972727,0.874858,0.000000,8.029039
25.000000,0.975758,0.940416,0.000000,7.754068
30.000000,0.967677,0.972378,0.000000,7.634777
35.000000,0.968687,0.989580,0.000000,7.447589
40.000000,0.976768,0.995556,0.000000,7.358950
45.000000,0.984848,0.996155,0.000000,7.261451
50.000000,0.988889,0.997733,0.000000,7.261234
