Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.983838,0.421790,0.000000,7.770424
10.000000,0.980808,0.478345,0.000000,8.782051
15.000000,0.982828,0.522581,0.000000,9.538102
20.000000,0.984848,0.627504,0.000000,10.911703
25.000000,0.975758,0.676155,0.000000,11.531445
30.000000,0.983838,0.750596,0.000000,11.029508
35.000000,0.978788,0.884192,0.000000,10.261338
40.000000,0.987879,0.934606,0.000000,8.664045
45.000000,0.971717,0.970592,0.000000,7.708556
50.000000,0.982828,0.983003,0.000000,7.118677
55.000000,0.980808,0.992091,0.000000,6.784168
60.000000,0.993939,0.996680,0.000000,6.636911
65.000000,0.996970,0.997463,0.000000,6.546559
