Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.992929,0.177137,0.000000,6.946308
10.000000,0.988889,0.368956,0.000000,6.883311
15.000000,0.989899,0.381689,0.000000,7.096634
20.000000,0.980808,0.443727,0.000000,7.646085
25.000000,0.979798,0.597849,0.000000,7.813313
30.000000,0.985859,0.737326,0.000000,8.520547
35.000000,0.980808,0.884207,0.000000,9.218839
40.000000,0.976768,0.918706,0.000000,9.196999
45.000000,0.991919,0.956695,0.000000,9.104014
50.000000,0.992929,0.971824,0.000000,9.039576
55.000000,0.993939,0.984311,0.000000,9.013068
60.000000,0.993939,0.989191,0.000000,9.061179
65.000000,0.990909,0.995624,0.000000,9.143803
