Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.976768,0.118169,0.000000,6.881769
10.000000,0.970707,0.294584,0.000000,6.382465
15.000000,0.976768,0.464806,0.000000,7.779417
20.000000,0.976768,0.622323,0.000000,8.499949
25.000000,0.976768,0.806368,0.000000,9.628578
30.000000,0.987879,0.913039,0.000000,10.219512
35.000000,0.981818,0.976577,0.000000,10.072662
40.000000,0.990909,0.988094,0.000000,9.953825
45.000000,0.988889,0.993657,0.000000,9.869897
50.000000,0.981818,0.996455,0.000000,9.738059
55.000000,0.993939,0.997758,0.000000,9.613956
