Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.978788,0.263274,0.000000,6.374062
10.000000,0.977778,0.317840,0.000000,6.066532
15.000000,0.977778,0.359219,0.000000,6.547194
20.000000,0.981818,0.444187,0.000000,7.098909
25.000000,0.977778,0.562633,0.000000,7.550455
30.000000,0.977778,0.657170,0.000000,7.817164
35.000000,0.976768,0.797268,0.000000,7.814330
40.000000,0.984848,0.883454,0.000000,7.528471
45.000000,0.984848,0.946902,0.000000,7.699059
50.000000,0.987879,0.982045,0.000000,8.008997
55.000000,0.989899,0.994639,0.000000,8.140609
60.000000,0.991919,0.996550,0.000000,8.172417
65.000000,0.989899,0.997492,0.000000,8.097574
70.000000,1.000000,0.997942,0.000000,7.971414
