Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.990909,0.289205,0.000000,6.713825
10.000000,0.976768,0.178659,0.000000,7.611426
15.000000,0.977778,0.196476,0.000000,10.270273
20.000000,0.972727,0.210279,0.000000,11.200726
25.000000,0.964646,0.251664,0.000000,10.455036
30.000000,0.970707,0.326367,0.000000,9.020624
35.000000,0.976768,0.556538,0.000000,7.354487
40.000000,0.968687,0.721208,0.000000,5.990837
45.000000,0.973737,0.858598,0.000000,5.540829
50.000000,0.972727,0.927333,0.000000,5.413543
55.000000,0.984848,0.971771,0.000000,5.457690
60.000000,0.988889,0.984651,0.000000,5.525454
65.000000,0.986869,0.994798,0.000000,5.541530
70.000000,0.984848,0.996569,0.000000,5.595483
75.000000,0.982828,0.997677,0.000000,5.608684
