Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.984848,0.058910,0.000000,6.987514
10.000000,0.979798,0.136262,0.000000,6.424450
15.000000,0.967677,0.449846,0.000000,6.830572
20.000000,0.976768,0.594620,0.000000,7.003851
25.000000,0.986869,0.698815,0.000000,8.323841
30.000000,0.985859,0.886572,0.000000,9.000106
35.000000,0.989899,0.972566,0.000000,9.298837
40.000000,0.984848,0.985202,0.000000,9.660651
45.000000,0.991919,0.991185,0.000000,10.002036
50.000000,0.988889,0.995303,0.000000,10.022230
55.000000,0.993939,0.996628,0.000000,9.996921
