Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.988889,0.101740,0.000000,5.488974
10.000000,0.986869,0.432737,0.000000,5.499459
15.000000,0.993939,0.649720,0.000000,6.353041
20.000000,0.987879,0.793930,0.000000,5.677043
25.000000,0.981818,0.918693,0.000000,5.522160
30.000000,0.983838,0.973625,0.000000,4.945730
35.000000,0.980808,0.993159,0.000000,4.775078
40.000000,0.978788,0.997052,0.000000,4.680271
45.000000,0.988889,0.997556,0.000000,4.614043
50.000000,0.996970,0.997695,0.000000,4.612324
