Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.982828,0.205776,0.000000,5.975547
10.000000,0.987879,0.492854,0.000000,6.954599
15.000000,0.986869,0.724416,0.000000,7.225837
20.000000,0.983838,0.867361,0.000000,7.072249
25.000000,0.980808,0.927789,0.000000,6.805408
30.000000,0.987879,0.960194,0.000000,6.847332
35.000000,0.982828,0.985141,0.000000,6.901351
40.000000,0.993939,0.991427,0.000000,6.942038
45.000000,0.987879,0.994399,0.000000,6.980061
50.000000,0.992929,0.995558,0.000000,7.008547
