Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.989899,0.468464,0.000000,6.768940
10.000000,0.992929,0.597949,0.000000,7.979598
15.000000,0.985859,0.680494,0.000000,8.859682
20.000000,0.978788,0.802266,0.000000,9.407483
25.000000,0.981818,0.878933,0.000000,9.925227
30.000000,0.985859,0.921959,0.000000,10.182866
35.000000,0.986869,0.969399,0.000000,10.053313
40.000000,0.982828,0.979733,0.000000,9.897656
45.000000,0.980808,0.985140,0.000000,9.858270
50.000000,0.979798,0.990167,0.000000,9.700344
55.000000,0.967677,0.993092,0.000000,9.621387
