Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.984848,0.342620,0.000000,7.212398
10.000000,0.985859,0.248872,0.000000,8.109846
15.000000,0.983838,0.304943,0.000000,10.214452
20.000000,0.979798,0.557360,0.000000,9.931267
25.000000,0.974747,0.791056,0.000000,9.294979
30.000000,0.984848,0.906733,0.000000,8.588494
35.000000,0.993939,0.968993,0.000000,8.282290
40.000000,0.990909,0.989456,0.000000,8.035074
45.000000,0.986869,0.994714,0.000000,7.833949
50.000000,0.993939,0.996349,0.000000,7.750857
55.000000,0.993939,0.997172,0.000000,7.745489
