Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.982828,0.415110,0.000000,6.286549
10.000000,0.980808,0.160445,0.000000,8.552674
15.000000,0.973737,0.210829,0.000000,10.097650
20.000000,0.984848,0.532878,0.000000,9.984890
25.000000,0.979798,0.816246,0.000000,10.057723
30.000000,0.985859,0.958813,0.000000,8.910682
35.000000,0.990909,0.988332,0.000000,8.843430
40.000000,0.985859,0.994856,0.000000,8.844421
45.000000,0.996970,0.996806,0.000000,8.838869
50.000000,0.997980,0.996804,0.000000,8.811494
