Step,AssignmentStability,FollowerPolarization,LeaderLoadStdDev,LeaderDistVariance
5.000000,0.989899,0.160893,0.000000,5.737098
10.000000,0.987879,0.145610,0.000000,5.974394
15.000000,0.987879,0.291235,0.000000,7.933338
20.000000,0.984848,0.411325,0.000000,8.363212
25.000000,0.976768,0.493098,0.000000,9.307980
30.000000,0.972727,0.582099,0.000000,9.566456
35.000000,0.979798,0.712922,0.000000,8.769446
40.000000,0.980808,0.772335,0.000000,7.190607
45.000000,0.989899,0.827314,0.000000,6.328674
50.000000,0.987879,0.877766,0.000000,6.213192
55.000000,0.981818,0.912527,0.000000,6.423356
60.000000,0.994949,0.938130,0.000000,6.854888
65.000000,0.995960,0.972410,0.000000,7.129082
70.000000,0.987879,0.982103,0.000000,7.336885
75.000000,0.981818,0.985966,0.000000,7.616029
80.000000,0.987879,0.989008,0.000000,7.932273
85.000000,0.988889,0.994036,0.000000,8.111511
